seed_id,variant,split,view,sketch_mode,motif,filter_kind,filter_kind_tags,output_slot_total,filter_total,evidence_total,join_path_total,ambiguous_count_star,output_column_recall_at_1,output_case_recall_at_1,output_column_recall_at_3,output_case_recall_at_3,output_column_recall_at_6,output_case_recall_at_6,filter_column_recall_at_1,filter_column_recall_at_3,evidence_table_recall_at_1,evidence_table_recall_at_4,gold_join_path_reachable_at_2,evidence_path_reachable_at_2,gold_join_path_reachable_at_3,evidence_path_reachable_at_3
spider__aircraft__04821,A,l0,full,fallback,SimpleJoin,none,['none'],2,0,0,1,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__aircraft__04821,A,l1,full,fallback,SimpleJoin,none,['none'],2,0,0,1,False,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spider__aircraft__04821,A,l2,full,fallback,SimpleJoin,none,['none'],2,0,0,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__apartment_rentals__01238,A,l0,full,fallback,FilterJoin,numeric,['numeric'],1,1,1,1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
spider__apartment_rentals__01238,A,l1,full,fallback,FilterJoin,numeric,['numeric'],1,1,1,1,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
spider__apartment_rentals__01238,A,l2,full,fallback,FilterJoin,numeric,['numeric'],1,1,1,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
spider__apartment_rentals__01239,A,l0,full,fallback,FilterJoin,numeric,['numeric'],1,1,1,1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
spider__apartment_rentals__01239,A,l1,full,fallback,FilterJoin,numeric,['numeric'],1,1,1,1,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
spider__apartment_rentals__01239,A,l2,full,fallback,FilterJoin,numeric,['numeric'],1,1,1,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
spider__apartment_rentals__01244,A,l0,full,fallback,FilterJoin,numeric,['numeric'],1,1,1,1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
spider__apartment_rentals__01244,A,l1,full,fallback,FilterJoin,numeric,['numeric'],1,1,1,1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
spider__apartment_rentals__01244,A,l2,full,fallback,FilterJoin,numeric,['numeric'],1,1,1,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
spider__assets_maintenance__03134,A,l0,full,fallback,SimpleJoin,none,['none'],2,0,0,2,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__assets_maintenance__03134,A,l1,full,fallback,SimpleJoin,none,['none'],2,0,0,2,False,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__assets_maintenance__03134,A,l2,full,fallback,SimpleJoin,none,['none'],2,0,0,2,False,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__assets_maintenance__03136,A,l0,full,fallback,SimpleJoin,none,['none'],2,0,0,1,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__assets_maintenance__03136,A,l1,full,fallback,SimpleJoin,none,['none'],2,0,0,1,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__assets_maintenance__03136,A,l2,full,fallback,SimpleJoin,none,['none'],2,0,0,1,False,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__assets_maintenance__03144,A,l0,full,fallback,AggregationJoin,ordering/superlative,['ordering/superlative'],1,0,1,1,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
spider__assets_maintenance__03144,A,l1,full,fallback,AggregationJoin,ordering/superlative,['ordering/superlative'],1,0,1,1,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
spider__assets_maintenance__03144,A,l2,full,fallback,AggregationJoin,ordering/superlative,['ordering/superlative'],1,0,1,1,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
spider__baseball_1__03665,A,l0,full,fallback,AggregationJoin,text,['text'],0,1,0,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__baseball_1__03665,A,l1,full,fallback,AggregationJoin,text,['text'],0,1,0,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__baseball_1__03665,A,l2,full,fallback,AggregationJoin,text,['text'],0,1,0,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__baseball_1__03666,A,l0,full,fallback,AggregationJoin,text,['text'],0,1,0,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__baseball_1__03666,A,l1,full,fallback,AggregationJoin,text,['text'],0,1,0,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__baseball_1__03666,A,l2,full,fallback,AggregationJoin,text,['text'],0,1,0,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__baseball_1__03677,A,l0,full,fallback,AggregationJoin,time,"['time', 'numeric', 'text']",0,2,0,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,1.0,0.0
spider__baseball_1__03677,A,l1,full,fallback,AggregationJoin,time,"['time', 'numeric', 'text']",0,2,0,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0
spider__baseball_1__03677,A,l2,full,fallback,AggregationJoin,time,"['time', 'numeric', 'text']",0,2,0,1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__bike_1__00131,A,l0,full,fallback,FilterJoin,numeric,"['numeric', 'text']",1,1,1,1,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
spider__bike_1__00131,A,l1,full,fallback,FilterJoin,numeric,"['numeric', 'text']",1,1,1,1,False,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
spider__bike_1__00131,A,l2,full,fallback,FilterJoin,numeric,"['numeric', 'text']",1,1,1,1,False,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
spider__bike_1__00132,A,l0,full,fallback,FilterJoin,numeric,"['numeric', 'text']",1,1,1,1,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
spider__bike_1__00132,A,l1,full,fallback,FilterJoin,numeric,"['numeric', 'text']",1,1,1,1,False,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
spider__bike_1__00132,A,l2,full,fallback,FilterJoin,numeric,"['numeric', 'text']",1,1,1,1,False,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
spider__bike_1__00139,A,l0,full,fallback,SimpleJoin,ordering/superlative,['ordering/superlative'],3,0,0,1,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__bike_1__00139,A,l1,full,fallback,SimpleJoin,ordering/superlative,['ordering/superlative'],3,0,0,1,False,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__bike_1__00139,A,l2,full,fallback,SimpleJoin,ordering/superlative,['ordering/superlative'],3,0,0,1,False,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__bike_1__00140,A,l0,full,fallback,SimpleJoin,ordering/superlative,['ordering/superlative'],3,0,0,1,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__bike_1__00140,A,l1,full,fallback,SimpleJoin,ordering/superlative,['ordering/superlative'],3,0,0,1,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__bike_1__00140,A,l2,full,fallback,SimpleJoin,ordering/superlative,['ordering/superlative'],3,0,0,1,False,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__bike_1__00163,A,l0,full,fallback,SimpleJoin,ordering/superlative,['ordering/superlative'],1,0,0,1,False,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__bike_1__00163,A,l1,full,fallback,SimpleJoin,ordering/superlative,['ordering/superlative'],1,0,0,1,False,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__bike_1__00163,A,l2,full,fallback,SimpleJoin,ordering/superlative,['ordering/superlative'],1,0,0,1,False,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__body_builder__01156,A,l0,full,fallback,SimpleJoin,none,['none'],1,0,0,1,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__body_builder__01156,A,l1,full,fallback,SimpleJoin,none,['none'],1,0,0,1,False,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
spider__body_builder__01156,A,l2,full,fallback,SimpleJoin,none,['none'],1,0,0,1,False,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
